Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_0,137.547852,27.177760,14,"1;2;3;4;5;6;7;8;9;10;11;12;13;14"
Root_1,56.939296,12.229600,14,"0;2;3;4;5;6;7;8;9;10;11;12;13;14"
Root_2,190.564642,31.807360,13,"2;3;4;5;6;7;8;9;10;11;12;13;14"
Root_3,23.120928,5.025920,14,"0;1;3;4;5;6;7;8;9;10;11;12;13;14"
Root_4,142.110722,28.103680,13,"1;3;4;5;6;7;8;9;10;11;12;13;14"
Root_5,56.542976,13.155520,13,"0;3;4;5;6;7;8;9;10;11;12;13;14"
Root_6,197.575682,32.733280,12,"3;4;5;6;7;8;9;10;11;12;13;14"
Root_7,39.859136,8.813568,14,"0;1;2;4;5;6;7;8;9;10;11;12;13;14"
Root_8,149.187202,29.091328,13,"1;2;4;5;6;7;8;9;10;11;12;13;14"
Root_9,66.507136,14.143168,13,"0;2;4;5;6;7;8;9;10;11;12;13;14"
Root_10,206.627458,33.720928,12,"2;4;5;6;7;8;9;10;11;12;13;14"
Root_11,40.723328,9.739488,13,"0;1;4;5;6;7;8;9;10;11;12;13;14"
Root_12,155.093250,30.017248,12,"1;4;5;6;7;8;9;10;11;12;13;14"
Root_13,32.957920,7.722208,14,"0;1;2;3;5;6;7;8;9;10;11;12;13;14"
Root_14,153.803170,29.399968,13,"1;2;3;5;6;7;8;9;10;11;12;13;14"
Root_15,60.593504,14.451808,13,"0;2;3;5;6;7;8;9;10;11;12;13;14"
Root_16,211.731138,34.029568,12,"2;3;5;6;7;8;9;10;11;12;13;14"
Root_17,33.987552,8.648128,13,"0;1;3;5;6;7;8;9;10;11;12;13;14"
Root_18,159.888290,30.325888,12,"1;3;5;6;7;8;9;10;11;12;13;14"
Root_19,46.212192,11.035776,13,"0;1;2;5;6;7;8;9;10;11;12;13;14"
Root_20,168.495554,31.313536,12,"1;2;5;6;7;8;9;10;11;12;13;14"
Root_21,70.587264,16.365376,12,"0;2;5;6;7;8;9;10;11;12;13;14"
Root_22,44.889952,11.961696,12,"0;1;5;6;7;8;9;10;11;12;13;14"
Root_23,176.089250,32.239456,11,"1;5;6;7;8;9;10;11;12;13;14"
Root_24,27.507296,6.343200,14,"0;1;2;3;4;6;7;8;9;10;11;12;13;14"
Root_25,153.926722,28.720960,13,"1;2;3;4;6;7;8;9;10;11;12;13;14"
Root_26,64.655296,13.772800,13,"0;2;3;4;6;7;8;9;10;11;12;13;14"
Root_27,30.841856,7.269120,13,"0;1;3;4;6;7;8;9;10;11;12;13;14"
Root_28,159.462402,29.646880,12,"1;3;4;6;7;8;9;10;11;12;13;14"
Root_29,47.575136,10.356768,13,"0;1;2;4;6;7;8;9;10;11;12;13;14"
Root_30,167.526530,30.634528,12,"1;2;4;6;7;8;9;10;11;12;13;14"
Root_31,47.178816,11.282688,12,"0;1;4;6;7;8;9;10;11;12;13;14"
Root_32,174.401698,31.560448,11,"1;4;6;7;8;9;10;11;12;13;14"
Root_33,39.130720,9.265408,13,"0;1;2;3;6;7;8;9;10;11;12;13;14"
Root_34,172.494338,30.943168,12,"1;2;3;6;7;8;9;10;11;12;13;14"
Root_35,38.617152,10.191328,12,"0;1;3;6;7;8;9;10;11;12;13;14"
Root_36,179.505378,31.869088,11,"1;3;6;7;8;9;10;11;12;13;14"
Root_37,52.384992,12.578976,12,"0;1;2;6;7;8;9;10;11;12;13;14"
Root_38,188.557154,32.856736,11,"1;2;6;7;8;9;10;11;12;13;14"
Root_39,51.062752,13.504896,11,"0;1;6;7;8;9;10;11;12;13;14"
Root_40,31.920848,7.225910,14,"0;1;2;3;4;5;7;8;9;10;11;12;13;14"
Root_41,162.140226,29.603670,13,"1;2;3;4;5;7;8;9;10;11;12;13;14"
Root_42,34.372698,8.151830,13,"0;1;3;4;5;7;8;9;10;11;12;13;14"
Root_43,167.299426,30.529590,12,"1;3;4;5;7;8;9;10;11;12;13;14"
Root_44,51.988688,11.239478,13,"0;1;2;4;5;7;8;9;10;11;12;13;14"
Root_45,175.122744,31.517238,12,"1;2;4;5;7;8;9;10;11;12;13;14"
Root_46,51.592368,12.165398,12,"0;1;4;5;7;8;9;10;11;12;13;14"
Root_47,42.661562,10.148118,13,"0;1;2;3;5;7;8;9;10;11;12;13;14"
Root_48,180.086863,31.825878,12,"1;2;3;5;7;8;9;10;11;12;13;14"
Root_49,41.339322,11.074038,12,"0;1;3;5;7;8;9;10;11;12;13;14"
Root_50,55.915834,13.461686,12,"0;1;2;5;7;8;9;10;11;12;13;14"
Root_51,39.636848,8.769110,13,"0;1;2;3;4;7;8;9;10;11;12;13;14"
Root_52,179.491896,31.146870,12,"1;2;3;4;7;8;9;10;11;12;13;14"
