Time,UB,LB
0.000000,853.186746,4.182656
0.028912,853.186746,8.073994
0.041361,853.186746,8.462880
0.054693,853.186746,9.080160
0.065619,853.186746,9.308554
0.072258,853.186746,9.925834
0.077841,853.186746,10.314720
0.083783,853.186746,11.160394
0.086849,853.186746,12.332000
0.099899,853.186746,12.767818
0.112753,853.186746,13.125840
0.125235,853.186746,13.177674
0.131956,853.186746,13.566560
0.134009,750.233976,13.566560
0.134032,703.071032,13.566560
0.134050,697.498232,13.566560
0.134161,689.522904,13.566560
0.134178,683.950104,13.566560
0.134453,653.351256,13.566560
0.134606,602.909400,13.566560
0.134832,589.361272,13.566560
0.136104,579.358872,13.566560
0.136214,576.374936,13.566560
0.137846,569.232952,13.566560
0.141203,567.998392,13.566560
0.158048,565.108552,13.566560
0.230518,564.993429,13.566560
0.233781,560.517157,13.566560
0.233869,557.533221,13.566560
0.720367,556.361144,13.566560
0.720381,550.788344,13.566560
0.720475,542.813016,13.566560
0.720492,537.240216,13.566560
0.721065,530.710616,13.566560
0.721081,525.137816,13.566560
0.721135,522.153880,13.566560
0.721840,517.111896,13.566560
0.724869,506.137216,13.566560
0.724887,500.564416,13.566560
0.724966,492.589088,13.566560
0.724982,487.016288,13.566560
0.726120,450.523176,13.566560
0.726339,450.019496,13.566560
0.726431,430.150440,13.566560
0.726625,424.922056,13.566560
0.728030,421.028264,13.566560
3.470097,420.146016,13.566560
3.470175,411.013952,13.566560
3.480115,410.023368,13.566560
3.595527,405.028912,13.566560
3.595745,404.525232,13.566560
3.595897,384.656176,13.566560
3.596068,380.779192,13.566560
9.610036,369.832216,13.566560
9.610179,365.955232,13.566560
15.478337,358.787851,13.566560
15.478487,354.910867,13.566560
19.340257,354.674162,13.566560
229.011746,354.674162,13.613491
229.019069,354.674162,13.971514
229.026138,354.674162,14.002378
229.033392,354.674162,14.022744
229.050037,354.674162,14.183840
229.056616,354.674162,14.360400
229.063521,354.674162,14.619658
251.625833,349.512059,14.619658
267.021653,345.786229,14.619658
267.210319,341.364515,14.619658
