Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_0,238.413291,21.182656,18,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_1,326.304875,29.172800,18,"0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_2,431.988563,38.555456,17,"2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_3,81.370805,4.017280,18,"0;1;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_4,330.299835,29.790080,17,"0;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_5,87.548565,4.325920,18,"0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_6,249.524331,22.108576,17,"1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_7,338.329435,30.098720,17,"0;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_8,87.852245,4.943200,17,"0;1;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_9,342.336795,30.716000,16,"0;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_10,308.433483,27.548128,18,"0;1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_11,410.867827,36.930784,17,"1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_12,357.939699,33.720928,17,"0;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_13,311.823563,28.165408,17,"0;1;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_14,362.564339,34.338208,16,"0;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_15,319.544523,28.474048,17,"0;1;2;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_16,370.902579,34.646848,16,"0;2;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_17,322.934603,29.091328,16,"0;1;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_18,375.527219,35.264128,15,"0;5;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_19,117.580523,9.245664,18,"0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18"
Root_20,109.365717,8.277760,18,"0;1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_21,354.125595,31.950560,17,"0;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_22,111.024907,8.895040,17,"0;1;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_23,358.132955,32.567840,16,"0;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_24,118.128587,9.203680,17,"0;1;2;4;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_25,366.162555,32.876480,16,"0;2;4;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_26,120.284107,9.820960,16,"0;1;4;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_27,370.169915,33.493760,15,"0;4;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_28,334.629531,30.325888,17,"0;1;2;3;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_29,388.550579,36.498688,16,"0;2;3;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_30,338.636891,30.943168,16,"0;1;3;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_31,393.175219,37.115968,15,"0;3;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_32,346.666491,31.251808,16,"0;1;2;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_33,401.513459,37.424608,15,"0;2;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_34,350.673851,31.869088,15,"0;1;5;7;8;9;10;11;12;13;14;15;16;17;18"
Root_35,80.204146,3.822837,18,"0;1;2;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_36,327.966517,29.595637,17,"0;2;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_37,80.507826,4.440117,17,"0;1;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_38,331.973877,30.212917,16,"0;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_39,86.685586,4.748757,17,"0;1;2;4;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_40,340.003477,30.521557,16,"0;2;4;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_41,86.989266,5.366037,16,"0;1;4;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_42,344.010837,31.138837,15,"0;4;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_43,309.684688,27.970965,17,"0;1;2;3;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_44,360.036578,34.143765,16,"0;2;3;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_45,313.074768,28.588245,16,"0;1;3;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_46,364.661218,34.761045,15,"0;3;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_47,320.795728,28.896885,16,"0;1;2;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_48,372.999458,35.069685,15,"0;2;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_49,324.514773,29.514165,15,"0;1;5;6;8;9;10;11;12;13;14;15;16;17;18"
Root_50,109.348411,8.700597,17,"0;1;2;3;4;5;8;9;10;11;12;13;14;15;16;17;18"
Root_51,355.799637,32.373397,16,"0;2;3;4;5;8;9;10;11;12;13;14;15;16;17;18"
Root_52,111.430438,9.317877,16,"0;1;3;4;5;8;9;10;11;12;13;14;15;16;17;18"
Root_53,359.806997,32.990677,15,"0;3;4;5;8;9;10;11;12;13;14;15;16;17;18"
Root_54,118.534118,9.626517,16,"0;1;2;4;5;8;9;10;11;12;13;14;15;16;17;18"
Root_55,367.836597,33.299317,15,"0;2;4;5;8;9;10;11;12;13;14;15;16;17;18"
Root_56,120.689638,10.243797,15,"0;1;4;5;8;9;10;11;12;13;14;15;16;17;18"
Root_57,336.303573,30.748725,16,"0;1;2;3;5;8;9;10;11;12;13;14;15;16;17;18"
Root_58,390.647458,36.921525,15,"0;2;3;5;8;9;10;11;12;13;14;15;16;17;18"
Root_59,340.310933,31.366005,15,"0;1;3;5;8;9;10;11;12;13;14;15;16;17;18"
Root_60,348.340533,31.674645,15,"0;1;2;5;8;9;10;11;12;13;14;15;16;17;18"
Root_61,403.610338,37.847445,14,"0;2;5;8;9;10;11;12;13;14;15;16;17;18"
Root_62,130.766923,9.924672,18,"0;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18"
