Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,216.247376,27.177760,9,"1;2;3;4;5;6;7;8;9"
Root_T1_1,90.385584,12.229600,9,"0;2;3;4;5;6;7;8;9"
Root_T1_2,56.052464,5.025920,9,"0;1;3;4;5;6;7;8;9"
Root_T1_3,76.248646,8.813568,9,"0;1;2;4;5;6;7;8;9"
Root_T1_4,64.665926,7.722208,9,"0;1;2;3;5;6;7;8;9"
Root_T1_5,39.646330,6.343200,9,"0;1;2;3;4;6;7;8;9"
Root_T1_6,47.245085,7.225910,9,"0;1;2;3;4;5;7;8;9"
Root_T1_7,61.027706,9.924672,9,"0;1;2;3;4;5;6;8;9"
Root_T1_8,61.132602,8.729600,9,"0;1;2;3;4;5;6;7;9"
Root_T1_9,77.143696,9.492576,9,"0;1;2;3;4;5;6;7;8"
