Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,203.084336,27.177760,10,"1;2;3;4;5;6;7;8;9;10"
Root_T1_1,54.682093,12.229600,10,"0;2;3;4;5;6;7;8;9;10"
Root_T1_2,28.253965,5.025920,10,"0;1;3;4;5;6;7;8;9;10"
Root_T1_3,37.493315,8.813568,10,"0;1;2;4;5;6;7;8;9;10"
Root_T1_4,42.568538,7.722208,10,"0;1;2;3;5;6;7;8;9;10"
Root_T1_5,35.620547,6.343200,10,"0;1;2;3;4;6;7;8;9;10"
Root_T1_6,38.102013,7.225910,10,"0;1;2;3;4;5;7;8;9;10"
Root_T1_7,55.609251,9.924672,10,"0;1;2;3;4;5;6;8;9;10"
Root_T1_8,39.371158,8.729600,10,"0;1;2;3;4;5;6;7;9;10"
Root_T1_9,39.067373,9.492576,10,"0;1;2;3;4;5;6;7;8;10"
Root_T1_10,26.708227,4.325920,10,"0;1;2;3;4;5;6;7;8;9"
