Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,248.671856,27.177760,11,"1;2;3;4;5;6;7;8;9;10;11"
Root_T1_1,82.143344,12.229600,11,"0;2;3;4;5;6;7;8;9;10;11"
Root_T1_2,45.741379,5.025920,11,"0;1;3;4;5;6;7;8;9;10;11"
Root_T1_3,58.461123,8.813568,11,"0;1;2;4;5;6;7;8;9;10;11"
Root_T1_4,65.575728,7.722208,11,"0;1;2;3;5;6;7;8;9;10;11"
Root_T1_5,56.359802,6.343200,11,"0;1;2;3;4;6;7;8;9;10;11"
Root_T1_6,59.415338,7.225910,11,"0;1;2;3;4;5;7;8;9;10;11"
Root_T1_7,80.240003,9.924672,11,"0;1;2;3;4;5;6;8;9;10;11"
Root_T1_8,59.636333,8.729600,11,"0;1;2;3;4;5;6;7;9;10;11"
Root_T1_9,60.714189,9.492576,11,"0;1;2;3;4;5;6;7;8;10;11"
Root_T1_10,45.542522,4.325920,11,"0;1;2;3;4;5;6;7;8;9;11"
Root_T1_11,48.727779,8.051840,11,"0;1;2;3;4;5;6;7;8;9;10"
