Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,282.264230,27.177760,12,"1;2;3;4;5;6;7;8;9;10;11;12"
Root_T1_1,98.935718,12.229600,12,"0;2;3;4;5;6;7;8;9;10;11;12"
Root_T1_2,53.733754,5.025920,12,"0;1;3;4;5;6;7;8;9;10;11;12"
Root_T1_3,72.235974,8.813568,12,"0;1;2;4;5;6;7;8;9;10;11;12"
Root_T1_4,79.871677,7.722208,12,"0;1;2;3;5;6;7;8;9;10;11;12"
Root_T1_5,67.255750,6.343200,12,"0;1;2;3;4;6;7;8;9;10;11;12"
Root_T1_6,72.311286,7.225910,12,"0;1;2;3;4;5;7;8;9;10;11;12"
Root_T1_7,93.561766,9.924672,12,"0;1;2;3;4;5;6;8;9;10;11;12"
Root_T1_8,68.659450,8.729600,12,"0;1;2;3;4;5;6;7;9;10;11;12"
Root_T1_9,74.489040,9.492576,12,"0;1;2;3;4;5;6;7;8;10;11;12"
Root_T1_10,55.638470,4.325920,12,"0;1;2;3;4;5;6;7;8;9;11;12"
Root_T1_11,61.102630,8.051840,12,"0;1;2;3;4;5;6;7;8;9;10;12"
Root_T1_12,77.397616,8.729600,12,"0;1;2;3;4;5;6;7;8;9;10;11"
