Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,283.810982,27.177760,13,"1;2;3;4;5;6;7;8;9;10;11;12;13"
Root_T1_1,115.304710,12.229600,13,"0;2;3;4;5;6;7;8;9;10;11;12;13"
Root_T1_2,34.188195,5.025920,13,"0;1;3;4;5;6;7;8;9;10;11;12;13"
Root_T1_3,68.873219,8.813568,13,"0;1;2;4;5;6;7;8;9;10;11;12;13"
Root_T1_4,49.220195,7.722208,13,"0;1;2;3;5;6;7;8;9;10;11;12;13"
Root_T1_5,54.385360,6.343200,13,"0;1;2;3;4;6;7;8;9;10;11;12;13"
Root_T1_6,56.953238,7.225910,13,"0;1;2;3;4;5;7;8;9;10;11;12;13"
Root_T1_7,85.008624,9.924672,13,"0;1;2;3;4;5;6;8;9;10;11;12;13"
Root_T1_8,65.286595,8.729600,13,"0;1;2;3;4;5;6;7;9;10;11;12;13"
Root_T1_9,69.638627,9.492576,13,"0;1;2;3;4;5;6;7;8;10;11;12;13"
Root_T1_10,31.836355,4.325920,13,"0;1;2;3;4;5;6;7;8;9;11;12;13"
Root_T1_11,70.219782,8.051840,13,"0;1;2;3;4;5;6;7;8;9;10;12;13"
Root_T1_12,47.790371,8.729600,13,"0;1;2;3;4;5;6;7;8;9;10;11;13"
Root_T1_13,72.995354,8.813568,13,"0;1;2;3;4;5;6;7;8;9;10;11;12"
