Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,287.928043,27.177760,14,"1;2;3;4;5;6;7;8;9;10;11;12;13;14"
Root_T1_1,101.651391,12.229600,14,"0;2;3;4;5;6;7;8;9;10;11;12;13;14"
Root_T1_2,31.041254,5.025920,14,"0;1;3;4;5;6;7;8;9;10;11;12;13;14"
Root_T1_3,62.590280,8.813568,14,"0;1;2;4;5;6;7;8;9;10;11;12;13;14"
Root_T1_4,43.837478,7.722208,14,"0;1;2;3;5;6;7;8;9;10;11;12;13;14"
Root_T1_5,42.809950,6.343200,14,"0;1;2;3;4;6;7;8;9;10;11;12;13;14"
Root_T1_6,42.960707,7.225910,14,"0;1;2;3;4;5;7;8;9;10;11;12;13;14"
Root_T1_7,74.325684,9.924672,14,"0;1;2;3;4;5;6;8;9;10;11;12;13;14"
Root_T1_8,67.177587,8.729600,14,"0;1;2;3;4;5;6;7;9;10;11;12;13;14"
Root_T1_9,68.944488,9.492576,14,"0;1;2;3;4;5;6;7;8;10;11;12;13;14"
Root_T1_10,30.815270,4.325920,14,"0;1;2;3;4;5;6;7;8;9;11;12;13;14"
Root_T1_11,46.734856,8.051840,14,"0;1;2;3;4;5;6;7;8;9;10;12;13;14"
Root_T1_12,57.177587,8.729600,14,"0;1;2;3;4;5;6;7;8;9;10;11;13;14"
Root_T1_13,48.407624,8.813568,14,"0;1;2;3;4;5;6;7;8;9;10;11;12;14"
Root_T1_14,35.779190,6.599980,14,"0;1;2;3;4;5;6;7;8;9;10;11;12;13"
