Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,182.982867,21.182656,15,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15"
Root_T1_1,64.106080,9.961096,15,"0;2;3;4;5;6;7;8;9;10;11;12;13;14;15"
Root_T1_2,45.097218,4.017280,15,"0;1;3;4;5;6;7;8;9;10;11;12;13;14;15"
Root_T1_3,30.752378,4.325920,15,"0;1;2;4;5;6;7;8;9;10;11;12;13;14;15"
Root_T1_4,283.593331,27.548128,15,"0;1;2;3;5;6;7;8;9;10;11;12;13;14;15"
Root_T1_5,45.311360,9.245664,15,"0;1;2;3;4;6;7;8;9;10;11;12;13;14;15"
Root_T1_6,44.445310,8.277760,15,"0;1;2;3;4;5;7;8;9;10;11;12;13;14;15"
Root_T1_7,45.097218,3.822837,15,"0;1;2;3;4;5;6;8;9;10;11;12;13;14;15"
Root_T1_8,59.025958,9.924672,15,"0;1;2;3;4;5;6;7;9;10;11;12;13;14;15"
Root_T1_9,294.045203,27.548128,15,"0;1;2;3;4;5;6;7;8;10;11;12;13;14;15"
Root_T1_10,92.518298,12.229600,15,"0;1;2;3;4;5;6;7;8;9;11;12;13;14;15"
Root_T1_11,50.917392,8.072832,15,"0;1;2;3;4;5;6;7;8;9;10;12;13;14;15"
Root_T1_12,46.186146,8.895040,15,"0;1;2;3;4;5;6;7;8;9;10;11;13;14;15"
Root_T1_13,33.627054,5.951840,15,"0;1;2;3;4;5;6;7;8;9;10;11;12;14;15"
Root_T1_14,99.140384,13.486400,15,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;15"
Root_T1_15,34.952378,7.225910,15,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;14"
