Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,193.988280,21.182656,16,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16"
Root_T1_1,67.625285,9.961096,16,"0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16"
Root_T1_2,51.655885,4.017280,16,"0;1;3;4;5;6;7;8;9;10;11;12;13;14;15;16"
Root_T1_3,34.655885,4.325920,16,"0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16"
Root_T1_4,300.964216,27.548128,16,"0;1;2;3;5;6;7;8;9;10;11;12;13;14;15;16"
Root_T1_5,52.214267,9.245664,16,"0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16"
Root_T1_6,48.132304,8.277760,16,"0;1;2;3;4;5;7;8;9;10;11;12;13;14;15;16"
Root_T1_7,51.655885,3.822837,16,"0;1;2;3;4;5;6;8;9;10;11;12;13;14;15;16"
Root_T1_8,62.306741,9.924672,16,"0;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16"
Root_T1_9,311.416088,27.548128,16,"0;1;2;3;4;5;6;7;8;10;11;12;13;14;15;16"
Root_T1_10,92.450285,12.229600,16,"0;1;2;3;4;5;6;7;8;9;11;12;13;14;15;16"
Root_T1_11,50.713070,8.072832,16,"0;1;2;3;4;5;6;7;8;9;10;12;13;14;15;16"
Root_T1_12,51.032253,8.895040,16,"0;1;2;3;4;5;6;7;8;9;10;11;13;14;15;16"
Root_T1_13,36.173334,5.951840,16,"0;1;2;3;4;5;6;7;8;9;10;11;12;14;15;16"
Root_T1_14,104.204451,13.486400,16,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;15;16"
Root_T1_15,37.498658,7.225910,16,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16"
Root_T1_16,40.966950,6.348760,16,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15"
