Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,168.118176,27.177760,12,"1;2;3;4;5;6;7;8;9;10;11;12"
Root_T1_1,66.642944,12.229600,12,"0;2;3;4;5;6;7;8;9;10;11;12"
Root_T1_2,39.894944,5.025920,12,"0;1;3;4;5;6;7;8;9;10;11;12"
Root_T1_3,53.206048,8.813568,12,"0;1;2;4;5;6;7;8;9;10;11;12"
Root_T1_4,53.376384,7.722208,12,"0;1;2;3;5;6;7;8;9;10;11;12"
Root_T1_5,46.481344,6.343200,12,"0;1;2;3;4;6;7;8;9;10;11;12"
Root_T1_6,50.894896,7.225910,12,"0;1;2;3;4;5;7;8;9;10;11;12"
Root_T1_7,65.042976,9.924672,12,"0;1;2;3;4;5;6;8;9;10;11;12"
Root_T1_8,58.413344,8.729600,12,"0;1;2;3;4;5;6;7;9;10;11;12"
Root_T1_9,54.465248,9.492576,12,"0;1;2;3;4;5;6;7;8;10;11;12"
Root_T1_10,36.394944,4.325920,12,"0;1;2;3;4;5;6;7;8;9;11;12"
Root_T1_11,46.972704,8.051840,12,"0;1;2;3;4;5;6;7;8;9;10;12"
Root_T1_12,58.413344,8.729600,12,"0;1;2;3;4;5;6;7;8;9;10;11"
