Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,147.284854,27.177760,9,"1;2;3;4;5;6;7;8;9"
Root_T1_1,63.549142,12.229600,9,"0;2;3;4;5;6;7;8;9"
Root_T1_2,34.523392,5.025920,9,"0;1;3;4;5;6;7;8;9"
Root_T1_3,48.925814,8.813568,9,"0;1;2;4;5;6;7;8;9"
Root_T1_4,44.560374,7.722208,9,"0;1;2;3;5;6;7;8;9"
Root_T1_5,33.357942,6.343200,9,"0;1;2;3;4;6;7;8;9"
Root_T1_6,41.123363,7.225910,9,"0;1;2;3;4;5;7;8;9"
Root_T1_7,43.445558,9.924672,9,"0;1;2;3;4;5;6;8;9"
Root_T1_8,48.589942,8.729600,9,"0;1;2;3;4;5;6;7;9"
Root_T1_9,51.641846,9.492576,9,"0;1;2;3;4;5;6;7;8"
