Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,131.981216,27.177760,10,"1;2;3;4;5;6;7;8;9;10"
Root_T1_1,52.361504,12.229600,10,"0;2;3;4;5;6;7;8;9;10"
Root_T1_2,32.817184,5.025920,10,"0;1;3;4;5;6;7;8;9;10"
Root_T1_3,42.340640,8.813568,10,"0;1;2;4;5;6;7;8;9;10"
Root_T1_4,43.602336,7.722208,10,"0;1;2;3;5;6;7;8;9;10"
Root_T1_5,38.086304,6.343200,10,"0;1;2;3;4;6;7;8;9;10"
Root_T1_6,41.617146,7.225910,10,"0;1;2;3;4;5;7;8;9;10"
Root_T1_7,53.066464,9.924672,10,"0;1;2;3;4;5;6;8;9;10"
Root_T1_8,47.631904,8.729600,10,"0;1;2;3;4;5;6;7;9;10"
Root_T1_9,42.920832,9.492576,10,"0;1;2;3;4;5;6;7;8;10"
Root_T1_10,30.017184,4.325920,10,"0;1;2;3;4;5;6;7;8;9"
