Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,150.758902,27.177760,13,"1;2;3;4;5;6;7;8;9;10;11;12;13"
Root_T1_1,60.851584,12.229600,13,"0;2;3;4;5;6;7;8;9;10;11;12;13"
Root_T1_2,24.959200,5.025920,13,"0;1;3;4;5;6;7;8;9;10;11;12;13"
Root_T1_3,41.049248,8.813568,13,"0;1;2;4;5;6;7;8;9;10;11;12;13"
Root_T1_4,33.148032,7.722208,13,"0;1;2;3;5;6;7;8;9;10;11;12;13"
Root_T1_5,30.028288,6.343200,13,"0;1;2;3;4;6;7;8;9;10;11;12;13"
Root_T1_6,33.559130,7.225910,13,"0;1;2;3;4;5;7;8;9;10;11;12;13"
Root_T1_7,47.022016,9.924672,13,"0;1;2;3;4;5;6;8;9;10;11;12;13"
Root_T1_8,40.629408,8.729600,13,"0;1;2;3;4;5;6;7;9;10;11;12;13"
Root_T1_9,44.444288,9.492576,13,"0;1;2;3;4;5;6;7;8;10;11;12;13"
Root_T1_10,23.559200,4.325920,13,"0;1;2;3;4;5;6;7;8;9;11;12;13"
Root_T1_11,37.240608,8.051840,13,"0;1;2;3;4;5;6;7;8;9;10;12;13"
Root_T1_12,31.899808,8.729600,13,"0;1;2;3;4;5;6;7;8;9;10;11;13"
Root_T1_13,41.049248,8.813568,13,"0;1;2;3;4;5;6;7;8;9;10;11;12"
