Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,137.547852,27.177760,14,"1;2;3;4;5;6;7;8;9;10;11;12;13;14"
Root_T1_1,56.939296,12.229600,14,"0;2;3;4;5;6;7;8;9;10;11;12;13;14"
Root_T1_2,23.120928,5.025920,14,"0;1;3;4;5;6;7;8;9;10;11;12;13;14"
Root_T1_3,39.859136,8.813568,14,"0;1;2;4;5;6;7;8;9;10;11;12;13;14"
Root_T1_4,32.957920,7.722208,14,"0;1;2;3;5;6;7;8;9;10;11;12;13;14"
Root_T1_5,27.507296,6.343200,14,"0;1;2;3;4;6;7;8;9;10;11;12;13;14"
Root_T1_6,31.920848,7.225910,14,"0;1;2;3;4;5;7;8;9;10;11;12;13;14"
Root_T1_7,45.414656,9.924672,14,"0;1;2;3;4;5;6;8;9;10;11;12;13;14"
Root_T1_8,39.439296,8.729600,14,"0;1;2;3;4;5;6;7;9;10;11;12;13;14"
Root_T1_9,43.254176,9.492576,14,"0;1;2;3;4;5;6;7;8;10;11;12;13;14"
Root_T1_10,21.643168,4.325920,14,"0;1;2;3;4;5;6;7;8;9;11;12;13;14"
Root_T1_11,32.946816,8.051840,14,"0;1;2;3;4;5;6;7;8;9;10;12;13;14"
Root_T1_12,39.439296,8.729600,14,"0;1;2;3;4;5;6;7;8;9;10;11;13;14"
Root_T1_13,31.045568,8.813568,14,"0;1;2;3;4;5;6;7;8;9;10;11;12;14"
Root_T1_14,28.791194,6.599980,14,"0;1;2;3;4;5;6;7;8;9;10;11;12;13"
