Time,UB,LB
0.000000,812.622677,20.730784
1.335347,812.622677,132.387917
1.339403,734.475771,132.387917
1.343960,671.214523,132.387917
1.353493,666.014779,132.387917
1.398308,604.629275,132.387917
1.408090,544.254267,132.387917
1.412350,537.288955,132.387917
2.216425,530.905971,132.387917
2.487076,527.421547,132.387917
3.029358,511.589902,132.387917
3.036440,506.017102,132.387917
3.086882,505.850542,132.387917
3.251815,504.604942,132.387917
3.378878,493.122158,132.387917
3.451898,493.080302,132.387917
3.609307,491.845742,132.387917
3.648123,487.411974,132.387917
3.773613,486.828766,132.387917
5.634300,436.094378,132.387917
5.655013,392.649370,132.387917
5.659768,376.301402,132.387917
7.720548,375.334800,132.387917
7.724804,358.986832,132.387917
8.976137,355.994693,132.387917
12.531205,355.584336,132.387917
13.389327,347.189328,132.387917
13.691355,345.954768,132.387917
13.978185,343.485648,132.387917
47.435992,343.238736,132.387917
47.708340,340.769616,132.387917
53.486993,340.587624,132.387917
57.987806,339.781968,132.387917
58.304980,338.547408,132.387917
59.202262,336.078288,132.387917
61.072147,334.349904,132.387917
65.120212,333.033680,132.387917
100.830757,325.172664,132.387917
141.208241,325.142416,132.387917
227.532695,316.814824,132.387917
1965.117812,314.064800,132.387917
2122.414062,313.388920,132.387917
2139.968533,312.648184,132.387917
2140.387760,311.722264,132.387917
2140.907980,309.870424,132.387917
2317.626336,309.870424,144.491504
2376.403145,309.870424,144.695053
3309.215090,309.870424,156.354221
3413.101184,309.870424,168.673541
