Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_0,316.500648,21.182656,19,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_1,495.439293,29.172800,19,"0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_2,492.039293,38.555456,18,"2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_3,209.445026,4.017280,19,"0;1;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_4,496.056573,29.790080,18,"0;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_5,209.553602,4.325920,19,"0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_6,317.426568,22.108576,18,"1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_7,496.365213,30.098720,18,"0;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_8,210.170882,4.943200,18,"0;1;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_9,496.982493,30.716000,17,"0;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_10,516.318205,27.548128,19,"0;1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_11,512.918205,36.930784,18,"1;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_12,520.987421,33.720928,18,"0;2;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_13,517.552765,28.165408,18,"0;1;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_14,521.604701,34.338208,17,"0;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_15,518.170045,28.474048,18,"0;1;2;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_16,521.913341,34.646848,17,"0;2;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_17,519.404605,29.091328,17,"0;1;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_18,522.530621,35.264128,16,"0;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_19,232.334590,9.245664,19,"0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_20,228.076310,8.277760,19,"0;1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_21,481.175165,31.950560,18,"0;2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_22,228.693590,8.895040,18,"0;1;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_23,482.409725,32.567840,17,"0;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_24,229.002230,9.203680,18,"0;1;2;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_25,483.027005,32.876480,17,"0;2;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_26,229.619510,9.820960,17,"0;1;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_27,484.261565,33.493760,16,"0;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_28,501.807165,30.325888,18,"0;1;2;3;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_29,509.871421,36.498688,17,"0;2;3;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_30,503.659005,30.943168,17,"0;1;3;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_31,511.105981,37.115968,16,"0;3;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_32,504.584925,31.251808,17,"0;1;2;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_33,511.723261,37.424608,16,"0;2;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_34,506.436765,31.869088,16,"0;1;5;7;8;9;10;11;12;13;14;15;16;17;18;19"
Root_35,193.697654,3.822837,19,"0;1;2;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_36,474.110395,29.595637,18,"0;2;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_37,193.920427,4.440117,18,"0;1;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_38,475.344955,30.212917,17,"0;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_39,194.229067,4.748757,18,"0;1;2;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_40,475.962235,30.521557,17,"0;2;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_41,201.846347,5.366037,17,"0;1;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_42,487.696795,31.138837,16,"0;4;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_43,492.387472,27.970965,18,"0;1;2;3;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_44,502.806651,34.143765,17,"0;2;3;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_45,494.239312,28.588245,17,"0;1;3;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_46,504.041211,34.761045,16,"0;3;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_47,495.165232,28.896885,17,"0;1;2;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_48,504.658491,35.069685,16,"0;2;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_49,508.217072,29.514165,16,"0;1;5;6;8;9;10;11;12;13;14;15;16;17;18;19"
Root_50,210.228939,8.700597,18,"0;1;2;3;4;5;8;9;10;11;12;13;14;15;16;17;18;19"
Root_51,462.624027,32.373397,17,"0;2;3;4;5;8;9;10;11;12;13;14;15;16;17;18;19"
Root_52,210.846219,9.317877,17,"0;1;3;4;5;8;9;10;11;12;13;14;15;16;17;18;19"
Root_53,464.475867,32.990677,16,"0;3;4;5;8;9;10;11;12;13;14;15;16;17;18;19"
Root_54,211.154859,9.626517,17,"0;1;2;4;5;8;9;10;11;12;13;14;15;16;17;18;19"
Root_55,465.401787,33.299317,16,"0;2;4;5;8;9;10;11;12;13;14;15;16;17;18;19"
Root_56,219.362515,10.243797,16,"0;1;4;5;8;9;10;11;12;13;14;15;16;17;18;19"
Root_57,480.654192,30.748725,17,"0;1;2;3;5;8;9;10;11;12;13;14;15;16;17;18;19"
Root_58,494.468411,36.921525,16,"0;2;3;5;8;9;10;11;12;13;14;15;16;17;18;19"
Root_59,483.123312,31.366005,16,"0;1;3;5;8;9;10;11;12;13;14;15;16;17;18;19"
Root_60,484.357872,31.674645,16,"0;1;2;5;8;9;10;11;12;13;14;15;16;17;18;19"
Root_61,497.246171,37.847445,15,"0;2;5;8;9;10;11;12;13;14;15;16;17;18;19"
Root_62,261.980062,9.924672,19,"0;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_63,324.581619,24.207328,18,"1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_64,492.320264,32.197472,18,"0;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_65,262.597342,10.541952,18,"0;1;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_66,492.937544,32.814752,17,"0;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_67,262.905982,10.850592,18,"0;1;2;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_68,493.246184,33.123392,17,"0;2;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_69,263.523262,11.467872,17,"0;1;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_70,493.863464,33.740672,16,"0;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_71,514.823848,30.572800,18,"0;1;2;3;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_72,516.468392,36.745600,17,"0;2;3;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_73,516.058408,31.190080,17,"0;1;3;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_74,517.085672,37.362880,16,"0;3;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_75,516.675688,31.498720,17,"0;1;2;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_76,517.394312,37.671520,16,"0;2;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_77,517.910248,32.116000,16,"0;1;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_78,518.011592,38.288800,15,"0;5;6;7;9;10;11;12;13;14;15;16;17;18;19"
Root_79,253.840702,12.702432,18,"0;1;2;3;4;5;7;9;10;11;12;13;14;15;16;17;18;19"
Root_80,478.056136,34.975232,17,"0;2;3;4;5;7;9;10;11;12;13;14;15;16;17;18;19"
Root_81,254.457982,13.319712,17,"0;1;3;4;5;7;9;10;11;12;13;14;15;16;17;18;19"
Root_82,479.290696,35.592512,16,"0;3;4;5;7;9;10;11;12;13;14;15;16;17;18;19"
Root_83,254.766622,13.628352,17,"0;1;2;4;5;7;9;10;11;12;13;14;15;16;17;18;19"
Root_84,479.907976,35.901152,16,"0;2;4;5;7;9;10;11;12;13;14;15;16;17;18;19"
Root_85,255.383902,14.245632,16,"0;1;4;5;7;9;10;11;12;13;14;15;16;17;18;19"
Root_86,500.312808,33.350560,17,"0;1;2;3;5;7;9;10;11;12;13;14;15;16;17;18;19"
Root_87,505.352392,39.523360,16,"0;2;3;5;7;9;10;11;12;13;14;15;16;17;18;19"
Root_88,502.164648,33.967840,16,"0;1;3;5;7;9;10;11;12;13;14;15;16;17;18;19"
Root_89,503.090568,34.276480,16,"0;1;2;5;7;9;10;11;12;13;14;15;16;17;18;19"
Root_90,507.653512,40.449280,15,"0;2;5;7;9;10;11;12;13;14;15;16;17;18;19"
Root_91,240.130856,10.347509,18,"0;1;2;3;4;5;6;9;10;11;12;13;14;15;16;17;18;19"
Root_92,470.991366,32.620309,17,"0;2;3;4;5;6;9;10;11;12;13;14;15;16;17;18;19"
Root_93,240.748136,10.964789,17,"0;1;3;4;5;6;9;10;11;12;13;14;15;16;17;18;19"
Root_94,472.225926,33.237589,16,"0;3;4;5;6;9;10;11;12;13;14;15;16;17;18;19"
Root_95,241.056776,11.273429,17,"0;1;2;4;5;6;9;10;11;12;13;14;15;16;17;18;19"
Root_96,472.843206,33.546229,16,"0;2;4;5;6;9;10;11;12;13;14;15;16;17;18;19"
Root_97,250.074056,11.890709,16,"0;1;4;5;6;9;10;11;12;13;14;15;16;17;18;19"
Root_98,490.893115,30.995637,17,"0;1;2;3;5;6;9;10;11;12;13;14;15;16;17;18;19"
Root_99,498.287622,37.168437,16,"0;2;3;5;6;9;10;11;12;13;14;15;16;17;18;19"
Root_100,492.744955,31.612917,16,"0;1;3;5;6;9;10;11;12;13;14;15;16;17;18;19"
Root_101,493.670875,31.921557,16,"0;1;2;5;6;9;10;11;12;13;14;15;16;17;18;19"
Root_102,500.139462,38.094357,15,"0;2;5;6;9;10;11;12;13;14;15;16;17;18;19"
Root_103,231.568659,13.125269,17,"0;1;2;3;4;5;9;10;11;12;13;14;15;16;17;18;19"
Root_104,459.504998,35.398069,16,"0;2;3;4;5;9;10;11;12;13;14;15;16;17;18;19"
Root_105,232.185939,13.742549,16,"0;1;3;4;5;9;10;11;12;13;14;15;16;17;18;19"
Root_106,232.494579,14.051189,16,"0;1;2;4;5;9;10;11;12;13;14;15;16;17;18;19"
Root_107,479.159835,33.773397,16,"0;1;2;3;5;9;10;11;12;13;14;15;16;17;18;19"
Root_108,489.949382,39.946197,15,"0;2;3;5;9;10;11;12;13;14;15;16;17;18;19"
Root_109,526.144872,27.548128,19,"0;1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_110,522.744872,36.930784,18,"1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_111,530.814088,33.720928,18,"0;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_112,527.379432,28.165408,18,"0;1;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_113,531.431368,34.338208,17,"0;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_114,527.996712,28.474048,18,"0;1;2;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_115,531.740008,34.646848,17,"0;2;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_116,529.231272,29.091328,17,"0;1;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_117,532.357288,35.264128,16,"0;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_118,532.441128,30.696256,18,"0;1;2;3;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_119,533.962216,36.869056,17,"0;2;3;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_120,533.675688,31.313536,17,"0;1;3;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_121,534.579496,37.486336,16,"0;3;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_122,534.292968,31.622176,17,"0;1;2;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_123,534.888136,37.794976,16,"0;2;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_124,535.527528,32.239456,16,"0;1;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_125,535.505416,38.412256,15,"0;5;6;7;8;10;11;12;13;14;15;16;17;18;19"
Root_126,508.485704,30.325888,18,"0;1;2;3;4;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_127,516.549960,36.498688,17,"0;2;3;4;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_128,510.337544,30.943168,17,"0;1;3;4;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_129,517.784520,37.115968,16,"0;3;4;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_130,511.263464,31.251808,17,"0;1;2;4;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_131,518.401800,37.424608,16,"0;2;4;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_132,513.115304,31.869088,16,"0;1;4;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_133,517.930088,33.474016,17,"0;1;2;3;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_134,522.846216,39.646816,16,"0;2;3;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_135,519.781928,34.091296,16,"0;1;3;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_136,524.080776,40.264096,15,"0;3;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_137,520.707848,34.399936,16,"0;1;2;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_138,524.698056,40.572736,15,"0;2;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_139,522.559688,35.017216,15,"0;1;5;7;8;10;11;12;13;14;15;16;17;18;19"
Root_140,499.066011,27.970965,18,"0;1;2;3;4;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_141,509.485190,34.143765,17,"0;2;3;4;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_142,500.917851,28.588245,17,"0;1;3;4;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_143,510.719750,34.761045,16,"0;3;4;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_144,501.843771,28.896885,17,"0;1;2;4;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_145,511.337030,35.069685,16,"0;2;4;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_146,514.195611,29.514165,16,"0;1;4;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_147,508.510395,31.119093,17,"0;1;2;3;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_148,515.781446,37.291893,16,"0;2;3;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_149,510.362235,31.736373,16,"0;1;3;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_150,517.016006,37.909173,15,"0;3;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_151,511.288155,32.045013,16,"0;1;2;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_152,517.633286,38.217813,15,"0;2;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_153,523.639995,32.662293,15,"0;1;5;6;8;10;11;12;13;14;15;16;17;18;19"
Root_154,484.184603,30.748725,17,"0;1;2;3;4;5;8;10;11;12;13;14;15;16;17;18;19"
Root_155,497.998822,36.921525,16,"0;2;3;4;5;8;10;11;12;13;14;15;16;17;18;19"
Root_156,486.653723,31.366005,16,"0;1;3;4;5;8;10;11;12;13;14;15;16;17;18;19"
Root_157,487.888283,31.674645,16,"0;1;2;4;5;8;10;11;12;13;14;15;16;17;18;19"
Root_158,500.776582,37.847445,15,"0;2;4;5;8;10;11;12;13;14;15;16;17;18;19"
