Time,UB,LB
0.000000,482.614000,4.182656
0.089542,482.614000,172.894032
0.101485,482.614000,177.880317
0.124637,482.614000,178.806237
0.135126,482.614000,180.277054
0.160117,482.614000,186.286205
0.182564,482.614000,188.253470
0.186219,482.614000,188.920370
0.208870,482.614000,189.500562
0.219581,482.614000,189.770891
0.242629,482.614000,189.846290
0.253061,482.614000,191.590163
0.275779,482.614000,192.516083
0.285613,482.614000,192.562347
0.309132,482.614000,193.143984
0.316034,482.614000,193.488267
0.326649,482.614000,193.697654
0.371758,482.614000,193.920427
0.393181,482.614000,194.229067
0.413236,482.614000,194.617506
0.420017,482.614000,195.618693
0.423306,482.614000,195.904957
0.434847,482.614000,196.153611
0.479160,482.614000,196.770891
0.501539,482.614000,197.079531
0.521521,482.614000,197.696811
0.531820,482.614000,199.156291
0.537887,482.614000,199.544453
0.549560,482.614000,200.161733
0.555762,482.614000,200.211910
0.562690,482.614000,200.470373
0.568399,482.614000,200.572982
0.579834,482.614000,200.588611
0.603035,482.614000,201.448227
0.626024,482.614000,201.688094
0.649992,482.614000,201.846347
0.660154,482.614000,202.244709
0.671396,482.614000,202.317506
0.677291,482.614000,202.952582
0.683349,482.614000,203.243426
0.686519,482.614000,204.132258
0.692921,482.614000,204.648325
0.699355,482.614000,204.749538
0.702373,482.614000,204.804422
0.705499,482.614000,205.058178
0.708458,482.614000,205.265605
0.711667,482.614000,205.574245
0.714587,482.614000,206.025539
0.757207,482.614000,206.326216
603.662187,482.612307,206.326216
647.755783,482.612307,206.642819
647.778727,482.612307,206.168579
647.782324,482.612307,206.951459
647.803630,482.612307,207.186450
647.815879,482.612307,207.803730
647.822319,482.612307,207.952582
647.828792,482.612307,208.070814
647.874597,482.612307,208.112370
647.880468,482.612307,208.688094
647.903756,482.612307,208.996734
647.925018,482.612307,209.187142
647.928482,482.612307,209.445026
647.973103,482.612307,209.487653
647.976425,482.612307,209.553602
648.018159,482.612307,209.614014
648.029203,482.612307,209.614803
648.041026,482.612307,209.618482
648.047157,482.612307,209.773843
648.070367,482.612307,209.804422
648.073803,482.612307,209.927122
648.079565,482.612307,209.930419
648.103306,482.612307,210.170882
648.124151,482.612307,210.228939
648.146679,482.612307,210.438722
648.192650,482.612307,210.690877
648.199972,482.612307,210.699763
648.210547,482.612307,210.846219
648.221560,482.612307,211.056002
648.244993,482.612307,211.154859
648.255401,482.612307,211.364642
648.277417,482.612307,211.981922
648.288424,482.612307,213.375458
648.290178,482.612307,213.389510
648.302954,482.612307,213.472234
648.304517,482.612307,213.945010
648.316787,482.612307,214.080638
648.320661,482.612307,214.208754
648.327728,482.612307,214.210467
648.334382,482.612307,214.595946
648.338141,482.612307,214.827747
648.344199,482.612307,215.158074
648.369021,482.612307,215.586450
648.380547,482.612307,215.782965
648.386644,482.612307,215.954555
648.397447,482.612307,216.203730
648.403667,482.612307,216.344453
648.416036,482.612307,216.400245
648.419587,482.612307,216.512370
648.425410,482.612307,216.708885
648.428403,482.612307,216.961733
648.434332,482.612307,217.139778
648.437812,482.612307,217.270373
648.443290,482.612307,217.573291
648.466177,482.612307,217.655845
648.469696,482.612307,217.975907
648.482139,482.612307,218.004766
648.493809,482.612307,218.139778
648.497226,482.612307,218.499211
648.508043,482.612307,218.657520
648.510268,482.612307,218.695736
648.512512,482.612307,218.944402
648.515510,482.612307,218.991618
648.517197,482.612307,219.210467
648.523501,482.612307,219.313016
648.524914,482.612307,219.362515
648.530058,482.612307,219.507685
648.531813,482.612307,219.542510
648.579751,482.612307,219.595946
648.583333,482.612307,219.621656
648.584546,482.612307,219.827747
648.590500,482.612307,219.969470
648.594107,482.612307,220.036062
648.601265,482.612307,220.159790
648.624738,482.612307,220.205629
648.631533,482.612307,220.260083
648.642806,482.612307,220.272194
648.665027,482.612307,220.284762
648.676032,482.612307,220.468430
648.696186,482.612307,220.481062
648.702955,482.612307,220.509360
648.704223,482.612307,220.746936
648.710341,482.612307,220.895390
648.712031,482.612307,221.045322
648.715380,482.612307,221.131549
648.718501,482.612307,221.198114
648.728658,482.612307,221.268550
648.740990,482.612307,221.435280
648.742162,482.612307,221.591525
648.743895,482.612307,221.772410
648.745399,482.612307,221.885830
648.752148,482.612307,222.008722
648.758144,482.612307,222.194470
774.714643,482.612307,222.688378
774.721278,482.612307,222.811750
774.724690,482.612307,222.870750
774.726843,482.612307,222.870776
774.730706,482.612307,223.179390
774.732658,482.612307,223.305658
774.736428,482.612307,223.436005
774.743329,482.612307,223.614298
774.746507,482.612307,223.642306
774.750130,482.612307,223.727352
774.757059,482.612307,223.977325
774.764039,482.612307,224.260938
774.776713,482.612307,224.462307
774.780091,482.612307,224.569578
774.791790,482.612307,224.586987
774.804055,482.612307,224.589154
774.807530,482.612307,224.653272
774.811031,482.612307,224.858539
774.822530,482.612307,224.942675
774.846071,482.612307,225.015856
774.847929,482.612307,225.186858
774.854288,482.612307,225.389214
774.857933,482.612307,225.425861
774.871235,482.612307,225.529650
774.874763,482.612307,225.559955
774.886263,482.612307,225.676339
774.890421,482.612307,225.784459
774.896022,482.612307,225.868595
774.906994,482.612307,226.043141
774.914128,482.612307,226.045322
774.917670,482.612307,226.183864
774.931327,482.612307,226.235152
774.945860,482.612307,226.287653
774.949257,482.612307,226.351781
774.955862,482.612307,226.523714
774.957791,482.612307,226.670192
774.959338,482.612307,226.801144
774.966258,482.612307,226.803653
774.979155,482.612307,226.938998
774.991994,482.612307,226.970440
775.015226,482.612307,227.109784
775.021238,482.612307,227.140994
775.022885,482.612307,227.213149
775.026673,482.612307,227.420933
775.033123,482.612307,227.469712
775.039937,482.612307,227.556278
775.046382,482.612307,227.654856
775.058657,482.612307,227.700168
775.065335,482.612307,227.729573
775.071237,482.612307,227.864918
775.077324,482.612307,227.896360
775.088429,482.612307,228.013213
775.089916,482.612307,228.014310
775.096778,482.612307,228.030686
775.102460,482.612307,228.076310
775.147484,482.612307,228.086992
775.153715,482.612307,228.421696
775.160347,482.612307,228.622542
775.185243,482.612307,228.693590
775.207635,482.612307,228.759608
775.211378,482.612307,229.002230
775.232398,482.612307,229.235685
775.239207,482.612307,229.310218
775.251390,482.612307,229.347616
775.254598,482.612307,229.462307
775.257869,482.612307,229.544325
775.263466,482.612307,229.547622
775.287921,482.612307,229.565666
775.294632,482.612307,229.618858
775.305579,482.612307,229.619510
775.315918,482.612307,229.685528
775.317636,482.612307,229.700082
775.326338,482.612307,229.721314
775.329826,482.612307,229.866150
775.333090,482.612307,230.099120
775.344725,482.612307,230.381496
775.348210,482.612307,230.388378
775.354575,482.612307,230.491586
775.357821,482.612307,230.697181
775.358993,482.612307,230.926739
775.370274,482.612307,230.969253
775.376445,482.612307,231.096083
775.379877,482.612307,231.314298
775.382819,482.612307,231.328864
775.395101,482.612307,231.568659
775.405838,482.612307,231.637504
775.417112,482.612307,232.026366
775.419006,482.612307,232.185939
775.424402,482.612307,232.254784
775.430124,482.612307,232.334590
775.487503,482.612307,232.391104
775.509898,482.612307,232.494579
775.515040,482.612307,232.821093
775.518201,482.612307,233.008384
775.529658,482.612307,233.014310
775.537886,482.612307,233.195170
775.552542,482.612307,233.317024
775.563167,482.612307,233.327550
775.564515,482.612307,233.407765
775.568072,482.612307,233.412923
775.568903,482.612307,233.662525
775.572344,482.612307,233.812450
775.579372,482.612307,233.869474
775.582986,482.612307,233.929650
775.586018,482.612307,233.994608
775.599873,482.612307,234.121090
775.609177,482.612307,234.179352
775.612620,482.612307,234.562110
775.613422,482.612307,234.796632
775.615180,482.612307,234.866150
775.618356,482.612307,235.105272
775.619961,482.612307,235.179390
775.620667,482.612307,235.267954
775.623769,482.612307,235.493318
775.629994,482.612307,235.666939
775.633668,482.612307,235.753907
775.645225,482.612307,236.017448
775.648762,482.612307,236.127064
775.652030,482.612307,236.276706
775.658345,482.612307,236.326088
775.661469,482.612307,236.599398
775.674474,482.612307,236.727878
775.677881,482.612307,236.882198
775.681083,482.612307,237.021558
775.704812,482.612307,237.190494
775.728819,482.612307,237.202626
775.731992,482.612307,237.216678
775.738740,482.612307,237.345158
775.741806,482.612307,237.525318
775.748257,482.612307,237.781733
775.755180,482.612307,237.939037
775.762452,482.612307,238.095595
775.764407,482.612307,238.116414
775.775400,482.612307,238.222510
775.778888,482.612307,238.296834
775.790760,482.612307,238.448261
775.796845,482.612307,238.452525
775.803985,482.612307,238.454299
775.815993,482.612307,238.457141
775.819523,482.612307,238.472933
775.822295,482.612307,238.561605
775.825266,482.612307,238.707653
775.828613,482.612307,238.713005
775.831083,482.612307,239.071579
775.837207,482.612307,239.333678
775.840766,482.612307,239.336138
775.846405,482.612307,239.380219
775.852167,482.612307,239.603627
775.867605,482.612307,239.603813
775.870913,482.612307,239.615530
775.894856,482.612307,239.682821
775.898060,482.612307,239.685528
775.901512,482.612307,239.733352
775.914286,482.612307,239.970594
775.916507,482.612307,239.997499
775.919481,482.612307,240.125040
775.925093,482.612307,240.130856
775.946803,482.612307,240.227413
775.953286,482.612307,240.260501
775.959868,482.612307,240.263096
775.972746,482.612307,240.275493
775.979019,482.612307,240.300101
775.981895,482.612307,240.302808
775.983635,482.612307,240.350632
775.989473,482.612307,240.493318
775.995402,482.612307,240.611448
775.996965,482.612307,240.659272
776.002684,482.612307,240.680286
776.025161,482.612307,240.748136
776.035525,482.612307,240.880376
776.042104,482.612307,240.892773
776.045402,482.612307,240.962190
776.071326,482.612307,240.968258
776.074914,482.612307,241.018504
776.081328,482.612307,241.056776
776.091506,482.612307,241.086683
776.094884,482.612307,241.153333
776.098041,482.612307,241.189016
776.104180,482.612307,241.201413
776.107254,482.612307,241.205154
776.108439,482.612307,241.586366
776.123318,482.612307,241.606206
776.134337,482.612307,241.822434
776.135479,482.612307,242.058571
776.137316,482.612307,242.060872
893.003023,482.612307,242.085541
893.006737,482.612307,242.210755
893.013719,482.612307,242.224680
893.018745,482.612307,242.242685
893.025564,482.612307,242.345158
893.028517,482.612307,242.482323
893.039862,482.612307,242.726082
893.046200,482.612307,243.000838
893.057324,482.612307,243.164080
893.060209,482.612307,243.275512
893.067099,482.612307,243.284309
893.070843,482.612307,243.343362
893.074082,482.612307,243.438206
893.080999,482.612307,243.451006
893.082275,482.612307,243.642254
893.085334,482.612307,243.652002
893.088263,482.612307,243.716392
893.091943,482.612307,243.769061
893.095184,482.612307,244.040613
893.106781,482.612307,244.201432
893.110154,482.612307,244.205811
893.115635,482.612307,244.492773
893.122040,482.612307,244.559878
893.144192,482.612307,244.636586
893.155671,482.612307,244.650077
893.162185,482.612307,244.657893
893.168106,482.612307,244.764325
893.174187,482.612307,244.796670
893.175349,482.612307,244.966533
893.180718,482.612307,245.177158
893.191901,482.612307,245.197152
893.194272,482.612307,245.302846
893.195044,482.612307,245.381605
893.198142,482.612307,245.418693
893.201279,482.612307,245.485798
893.212521,482.612307,245.575997
893.215699,482.612307,245.690245
893.218636,482.612307,245.736682
893.222018,482.612307,245.808664
893.228448,482.612307,246.035685
893.234423,482.612307,246.043576
893.237997,482.612307,246.096296
893.250293,482.612307,246.100950
893.272551,482.612307,246.148430
893.274275,482.612307,246.155104
893.281477,482.612307,246.344325
893.286976,482.612307,246.592859
893.290559,482.612307,246.676789
893.296848,482.612307,246.713576
893.303132,482.612307,246.718230
893.314495,482.612307,246.967806
893.360065,482.612307,246.969496
893.361800,482.612307,247.022216
893.367495,482.612307,247.026870
893.377805,482.612307,247.197512
893.401599,482.612307,247.245810
893.405385,482.612307,247.258402
893.429658,482.612307,247.331578
893.431573,482.612307,247.452714
893.438955,482.612307,247.585086
893.462719,482.612307,247.602709
893.465866,482.612307,247.639496
893.468938,482.612307,247.644150
893.474177,482.612307,247.842538
893.490079,482.612307,247.893726
893.511560,482.612307,247.974912
893.512823,482.612307,248.121786
893.519684,482.612307,248.184322
893.530649,482.612307,248.280514
893.534040,482.612307,248.331574
893.557094,482.612307,248.421773
893.563957,482.612307,248.511006
893.575244,482.612307,248.648864
893.582009,482.612307,248.796581
893.585393,482.612307,248.903842
893.587494,482.612307,249.136136
893.590932,482.612307,249.148430
893.594409,482.612307,249.155653
893.596125,482.612307,249.184325
893.599713,482.612307,249.280514
893.602948,482.612307,249.317285
893.610425,482.612307,249.351325
893.616888,482.612307,249.463754
893.628577,482.612307,249.518693
893.630211,482.612307,249.574784
893.633528,482.612307,249.980514
893.636930,482.612307,249.986552
893.643365,482.612307,250.012725
893.647214,482.612307,250.074056
893.652236,482.612307,250.138402
893.653466,482.612307,250.603832
893.656990,482.612307,250.615546
893.663449,482.612307,250.648421
893.665126,482.612307,250.755682
893.666212,482.612307,250.799715
893.668064,482.612307,250.875493
893.669519,482.612307,250.912472
893.672654,482.612307,250.942149
893.678797,482.612307,251.099453
