Time,UB,LB
0.000000,319.120278,17.407360
0.006354,319.120278,30.017184
0.009503,319.120278,32.817184
0.013663,319.120278,36.520864
0.016197,319.120278,38.086304
0.024072,319.120278,41.617146
0.026682,319.120278,41.789984
0.029259,319.120278,42.340640
0.036840,319.120278,42.761536
0.037993,319.120278,42.920832
0.040237,319.120278,43.602336
0.042567,319.120278,45.320826
0.046708,319.120278,45.493664
0.051978,319.120278,45.587488
0.054215,319.120278,46.624512
0.056524,319.120278,46.797280
0.057769,319.120278,47.306016
0.061087,319.120278,47.631904
0.063805,319.120278,47.789946
0.065100,319.120278,48.056608
0.066289,319.120278,49.024506
0.066853,319.120278,49.129408
0.075503,319.120278,49.291168
0.076160,319.120278,49.775136
0.077461,319.120278,49.883680
0.078061,319.120278,50.202304
0.080970,319.120278,50.672608
0.081618,319.120278,50.772640
0.082879,319.120278,51.313344
0.083502,319.120278,51.335584
0.085986,319.120278,51.426880
0.086278,319.120278,51.587450
0.087362,319.120278,51.760288
0.088506,319.120278,51.918256
0.089798,319.120278,52.361504
0.092115,319.120278,52.524448
0.093244,319.120278,53.066464
0.095551,319.120278,53.115776
0.096842,319.120278,53.278720
0.111065,319.120278,53.542960
0.112294,319.120278,53.759008
0.113444,319.120278,53.982496
0.115828,319.120278,54.183696
0.117725,319.120278,54.297232
0.118321,319.120278,54.399744
0.119592,319.120278,54.476320
0.120821,319.120278,54.513280
0.121435,319.120278,55.039264
0.122032,319.120278,55.456528
0.123937,319.120278,55.672576
0.124659,319.120278,55.739296
0.125890,319.120278,55.831808
0.127428,319.120278,56.536768
0.129971,319.120278,56.547856
0.130292,319.120278,56.604704
0.131544,319.120278,56.788704
0.135023,319.120278,56.991104
0.137513,319.120278,57.154048
0.139163,319.120278,57.291040
0.140028,319.120278,57.347744
0.140653,319.120278,57.524416
0.141260,319.120278,57.672608
0.142661,319.120278,57.696064
0.145246,319.120278,57.745376
0.146488,319.120278,57.839296
0.147209,319.120278,57.908320
0.147814,319.120278,58.172560
0.149090,319.120278,58.388608
0.149687,319.120278,58.450336
0.151033,319.120278,58.542928
0.170931,319.120278,58.612000
0.171557,319.120278,58.813296
0.172764,319.120278,58.926832
0.173377,319.120278,59.029344
0.173674,319.120278,59.067616
0.173972,319.120278,59.142880
0.174119,319.120278,59.187488
0.175527,319.120278,59.709632
0.176723,319.120278,59.775040
0.177068,319.120278,60.077504
0.178346,319.120278,60.086128
0.178654,319.120278,60.135546
0.179945,319.120278,60.224512
0.181842,319.120278,60.240448
0.182490,319.120278,60.288704
0.185412,319.120278,60.308384
0.186610,319.120278,60.326976
0.187996,319.120278,60.461408
0.189223,319.120278,60.617056
0.189590,319.120278,60.782464
0.190833,319.120278,60.831776
0.191442,319.120278,60.994720
0.191743,319.120278,61.166368
0.192952,319.120278,61.202256
0.195788,319.120278,61.215680
0.196252,319.120278,61.258960
0.196887,319.120278,61.376288
0.198141,319.120278,61.418304
0.200329,319.120278,61.536736
0.200937,319.120278,61.620704
0.201544,319.120278,61.783648
0.201902,319.120278,61.875040
0.202258,319.120278,61.899696
0.202886,319.120278,61.920640
0.203629,319.120278,61.937968
0.204335,319.120278,61.987488
0.205938,319.120278,62.013232
0.206264,319.120278,62.120736
0.207512,319.120278,62.154016
0.208095,319.120278,62.254016
0.208399,319.120278,62.325664
0.209032,319.120278,62.374976
0.209309,319.120278,62.537920
0.209447,319.120278,62.802160
0.209763,319.120278,62.891168
0.210663,319.120278,62.903264
0.210974,319.120278,63.024512
0.212487,319.120278,63.043008
0.214071,319.120278,63.079936
0.214384,319.120278,63.172528
0.214999,319.120278,63.241600
0.215337,319.120278,63.413312
0.216623,319.120278,63.442896
0.216949,319.120278,63.472544
0.218414,319.120278,63.556432
0.218574,319.120278,63.566400
0.219262,319.120278,63.683744
0.222421,319.120278,63.797280
0.223331,319.120278,63.826976
0.225802,319.120278,63.839226
0.227297,319.120278,63.845408
0.228055,319.120278,63.928192
0.228809,319.120278,63.939104
0.229720,319.120278,64.012064
0.230179,319.120278,64.162624
0.263968,319.120278,64.177504
0.265292,319.120278,64.252768
0.265993,319.120278,64.491056
0.267322,319.120278,64.568896
0.267709,319.120278,64.618112
0.268424,319.120278,64.654000
0.269033,319.120278,64.702256
0.272829,319.120278,64.707104
0.274616,319.120278,64.870048
0.276087,319.120278,64.918304
0.283267,319.120278,64.931776
