Time,UB,LB
0.000000,160.000000,14.907360
0.036969,160.000000,23.559200
0.056847,160.000000,24.959200
0.077853,160.000000,27.485088
0.085604,160.000000,30.028288
0.103286,160.000000,31.436928
0.111676,160.000000,31.899808
0.134875,160.000000,31.996064
0.142325,160.000000,33.148032
0.157628,160.000000,33.177664
0.165424,160.000000,33.559130
0.181594,160.000000,33.731968
0.189308,160.000000,34.122080
0.203735,160.000000,34.214688
0.207811,160.000000,34.299744
0.211644,160.000000,34.562810
0.219592,160.000000,34.696064
0.227817,160.000000,35.877664
0.237292,160.000000,36.862819
0.241638,160.000000,37.240608
0.257601,160.000000,37.262810
0.266214,160.000000,37.685088
0.284533,160.000000,37.866528
0.292259,160.000000,38.682496
0.296361,160.000000,39.320832
0.323322,160.000000,39.736864
0.327024,160.000000,39.868928
0.328651,160.000000,40.566528
0.336062,160.000000,40.629408
0.350915,160.000000,40.725664
0.358137,160.000000,40.826960
0.364906,160.000000,40.923216
0.368234,160.000000,41.049248
0.401623,160.000000,41.145504
0.416704,160.000000,41.191168
0.420311,160.000000,43.029344
0.424114,160.000000,43.096048
0.427789,160.000000,43.226896
0.429629,160.000000,43.399770
0.431202,160.000000,43.425664
0.438695,160.000000,43.449184
0.446492,160.000000,43.492368
0.453988,160.000000,43.623216
0.457910,160.000000,43.725696
0.461462,160.000000,43.845504
0.476069,160.000000,44.029376
0.477692,160.000000,44.047968
0.484676,160.000000,44.122016
0.521635,160.000000,44.444288
0.538053,160.000000,44.581184
0.545706,160.000000,44.722010
0.549340,160.000000,45.007232
0.553028,160.000000,45.044224
0.560024,160.000000,45.110784
0.563593,160.000000,45.225728
0.567249,160.000000,45.296128
0.571478,160.000000,45.573824
0.575108,160.000000,45.753920
0.578361,160.000000,45.768832
0.582659,160.000000,45.781216
0.589941,160.000000,45.912064
0.593646,160.000000,46.329472
0.601111,160.000000,46.340384
0.603049,160.000000,46.453920
0.606750,160.000000,46.502304
0.610735,160.000000,47.022016
0.626301,160.000000,47.296128
0.630479,160.000000,47.356544
0.632290,160.000000,47.534336
0.639375,160.000000,47.551616
0.646867,160.000000,47.583744
0.650755,160.000000,47.752864
0.654049,160.000000,47.796096
0.657284,160.000000,47.838016
0.660573,160.000000,47.909440
0.662570,160.000000,47.930656
0.680273,160.000000,48.097344
0.684483,160.000000,48.120672
0.686100,160.000000,48.272640
0.693092,160.000000,48.425664
0.701975,160.000000,48.493664
0.720386,160.000000,48.496096
0.724028,160.000000,48.618368
0.732794,160.000000,48.666496
0.741487,160.000000,48.718368
0.749199,160.000000,49.004704
0.752836,160.000000,49.118336
0.760177,160.000000,49.257792
0.764291,160.000000,49.293664
0.772911,160.000000,49.302304
0.777268,160.000000,49.401024
0.784568,160.000000,49.597344
0.788585,160.000000,49.614592
0.853727,160.000000,49.877446
0.860901,160.000000,50.144192
0.868666,160.000000,50.340486
0.876657,160.000000,50.407046
0.880026,160.000000,50.510896
0.883983,160.000000,50.583744
0.887936,160.000000,50.662784
0.896012,160.000000,50.812048
0.897731,160.000000,50.870086
0.901250,160.000000,51.107046
0.905417,160.000000,51.208368
0.908922,160.000000,51.268832
0.913166,160.000000,51.373792
0.916479,160.000000,51.441696
0.918171,160.000000,51.466432
0.932400,160.000000,51.466496
0.940849,160.000000,51.512048
0.942573,160.000000,51.561504
0.949940,160.000000,51.597344
0.953814,160.000000,51.613312
0.958115,160.000000,51.696064
0.966513,160.000000,51.763968
0.969840,160.000000,51.794752
0.978796,160.000000,51.836800
0.985940,160.000000,51.838016
0.989351,160.000000,51.892384
0.993420,160.000000,51.996032
0.999910,160.000000,52.015613
1.000874,160.000000,52.067648
1.002901,160.000000,52.094752
1.007558,160.000000,52.099686
1.009318,160.000000,52.141696
1.011043,160.000000,52.157565
1.012838,160.000000,52.160288
1.020211,160.000000,52.166416
1.023880,160.000000,52.257792
1.027974,160.000000,52.366400
1.031156,160.000000,52.502272
1.034626,160.000000,52.510896
1.039527,160.000000,52.833146
1.043771,160.000000,52.897120
1.044634,160.000000,52.907216
1.062062,160.000000,52.991072
1.064020,160.000000,53.024352
1.068039,160.000000,53.065152
1.077381,160.000000,53.104704
1.084054,160.000000,53.162656
1.087990,160.000000,53.225632
1.091508,160.000000,53.307168
1.095000,160.000000,53.310784
1.102449,160.000000,53.413344
1.106460,160.000000,53.486176
1.113832,160.000000,53.596000
1.115669,160.000000,53.615808
1.122819,160.000000,53.620672
1.124376,160.000000,53.703488
1.131724,160.000000,53.707216
1.139979,160.000000,53.840384
1.145308,160.000000,53.862656
1.148882,160.000000,53.919488
1.150493,160.000000,53.991040
1.152076,160.000000,54.007168
1.155417,160.000000,54.010896
1.159191,160.000000,54.012128
1.177177,160.000000,54.294752
1.182301,160.000000,54.315808
1.190253,160.000000,54.483520
1.194163,160.000000,54.510816
1.201782,160.000000,54.641664
1.205918,160.000000,54.757792
1.210495,160.000000,54.833024
1.218161,160.000000,54.861376
1.220119,160.000000,54.910854
1.235067,160.000000,55.069984
1.236798,160.000000,55.100800
1.240656,160.000000,55.183520
1.244180,160.000000,55.204544
1.245887,160.000000,55.299744
1.247922,160.000000,55.440454
1.255370,160.000000,55.620672
1.259106,160.000000,55.646656
