Time,UB,LB
0.000000,502.683194,14.907360
0.031069,502.683194,23.559200
0.031188,256.944131,23.559200
0.031361,221.099126,23.559200
0.031461,209.121366,23.559200
0.032027,206.457408,23.559200
0.032692,204.296928,23.559200
0.036030,204.222710,23.559200
0.036175,201.763510,23.559200
0.041173,201.043738,23.559200
0.041314,198.584538,23.559200
0.044470,195.067066,23.559200
0.047524,193.166192,23.559200
0.068489,189.474490,23.559200
0.078753,188.658672,23.559200
0.079255,184.338928,23.559200
0.108257,182.785984,23.559200
0.117986,180.489722,23.559200
0.128842,174.529104,23.559200
0.196801,172.820528,23.559200
0.230920,163.835238,23.559200
2.687978,162.798109,23.559200
2.688659,161.278397,23.559200
16.047615,156.840349,23.559200
152.264894,156.521811,23.559200
418.698005,156.521811,24.959200
448.770219,156.521811,30.028288
474.625942,156.521811,31.436928
474.632682,156.521811,33.148032
486.303688,156.521811,33.177664
486.309925,156.521811,33.559130
503.624184,156.521811,34.562810
503.631207,156.521811,38.682496
513.756647,156.521811,39.320832
513.763535,156.521811,40.629408
513.778079,156.521811,40.725664
522.598227,156.521811,40.826960
522.604444,156.521811,40.923216
522.607557,156.521811,41.049248
526.827464,156.521811,41.145504
526.834122,156.521811,43.096048
535.316378,156.521811,43.492368
535.323206,156.521811,44.047968
535.330119,156.521811,44.444288
540.738952,156.521811,47.022016
540.752493,156.521811,47.534336
540.755859,156.521811,47.551616
550.543406,156.521811,47.796096
550.546650,156.521811,47.930656
550.553090,156.521811,49.118336
554.823362,156.521811,49.614592
554.830564,156.521811,50.144192
554.834362,156.521811,50.662784
554.842471,156.521811,50.812048
559.140186,156.521811,51.208368
559.143656,156.521811,51.466496
559.152439,156.521811,51.763968
559.155546,156.521811,52.160288
559.161936,156.521811,53.162656
562.164974,156.521811,53.310784
562.171622,156.521811,53.486176
562.177872,156.521811,53.615808
562.180904,156.521811,53.840384
562.184068,156.521811,54.012128
565.394757,156.521811,54.483520
565.397781,156.521811,54.510816
565.404132,156.521811,54.910854
565.410409,156.521811,55.440454
569.669305,156.521811,55.620672
569.672555,156.521811,55.646656
569.675664,156.521811,55.755232
569.677208,156.521811,55.959046
569.686342,156.521811,56.150272
569.687825,156.521811,56.177520
569.691609,156.521811,56.281216
572.224789,156.521811,56.573840
572.231626,156.521811,56.810816
572.234778,156.521811,57.004640
572.236326,156.521811,57.400960
572.239544,156.521811,58.503424
572.246248,156.521811,58.607046
575.707439,156.521811,59.033024
575.710883,156.521811,59.136646
575.714330,156.521811,59.428064
575.717827,156.521811,59.567648
575.726350,156.521811,60.521894
575.729764,156.521811,60.851584
578.507904,156.521811,60.916934
578.511173,156.521811,61.051494
578.512692,156.521811,61.331808
578.514198,156.521811,61.381184
578.520476,156.521811,61.446534
578.522195,156.521811,61.577478
578.528695,156.521811,61.728128
578.531758,156.521811,62.197149
581.403372,156.521811,62.395904
581.406360,156.521811,63.830400
581.409562,156.521811,63.851424
581.411239,156.521811,64.114464
581.415145,156.521811,64.170054
581.418265,156.521811,64.509504
581.421427,156.521811,64.565094
581.424830,156.521811,64.644064
581.426518,156.521811,64.699654
581.428096,156.521811,64.720640
583.191068,156.521811,65.039104
583.192524,156.521811,65.094694
583.194158,156.521811,65.116960
583.195651,156.521811,65.285920
583.197295,156.521811,65.484992
583.204884,156.521811,65.745360
583.206397,156.521811,65.880032
583.213519,156.521811,66.141680
583.216619,156.521811,67.728000
583.222710,156.521811,67.750368
585.493739,156.521811,67.762624
585.498294,156.521811,68.078525
585.501463,156.521811,68.132992
585.508198,156.521811,68.157664
585.511589,156.521811,68.292224
585.513128,156.521811,68.528032
585.519644,156.521811,68.574877
585.522738,156.521811,68.662592
585.525790,156.521811,68.687264
585.527456,156.521811,68.739168
587.645049,156.521811,69.057632
587.648429,156.521811,69.134192
587.649202,156.521811,69.135488
587.652299,156.521811,69.183520
587.655595,156.521811,69.530512
587.657070,156.521811,69.534045
587.658717,156.521811,69.781094
587.660187,156.521811,70.009373
587.663522,156.521811,70.030397
587.665047,156.521811,70.176134
587.666600,156.521811,70.310694
587.667425,156.521811,70.697152
589.005870,156.521811,70.705734
589.006633,156.521811,71.464893
589.008322,156.521811,71.544029
589.011389,156.521811,72.128000
589.012146,156.521811,72.152672
589.015853,156.521811,72.332992
589.022171,156.521811,72.524320
589.023666,156.521811,72.728032
589.029856,156.521811,72.862592
589.033089,156.521811,72.999549
589.034601,156.521811,73.058886
589.037720,156.521811,73.257632
589.040760,156.521811,73.373664
589.042231,156.521811,73.453926
589.045346,156.521811,73.461360
590.868285,156.521811,73.588486
590.869745,156.521811,73.744032
590.872749,156.521811,73.768704
590.874244,156.521811,73.857680
590.875740,156.521811,73.903264
590.876466,156.521811,73.936768
590.878132,156.521811,73.983526
590.879630,156.521811,74.115808
590.883171,156.521811,74.139072
590.886497,156.521811,74.273632
590.888126,156.521811,74.298304
590.888884,156.521811,74.668672
590.890403,156.521811,76.167456
590.898039,156.521811,76.455168
590.898795,156.521811,76.763808
590.900294,156.521811,76.850192
592.204773,156.521811,76.851488
592.206244,156.521811,76.876125
592.212562,156.521811,77.160128
592.215587,156.521811,77.246512
592.216325,156.521811,77.392192
592.219688,156.521811,77.622976
592.222743,156.521811,77.787232
592.225739,156.521811,77.921792
592.227206,156.521811,77.944032
592.230229,156.521811,78.316832
592.231735,156.521811,78.331645
592.234785,156.521811,78.339072
592.237916,156.521811,78.350320
592.239542,156.521811,78.473632
592.240979,156.521811,78.530400
592.244911,156.521811,78.669926
592.246521,156.521811,78.868672
592.248028,156.521811,79.064966
592.249515,156.521811,79.199526
592.250252,156.521811,79.377277
593.696289,156.521811,79.594566
593.697092,156.521811,79.966144
593.697463,156.521811,79.985920
593.698929,156.521811,80.240320
593.699670,156.521811,80.263808
593.701176,156.521811,80.336512
593.701981,156.521811,80.548960
593.703594,156.521811,80.660128
593.707560,156.521811,80.811773
593.709089,156.521811,80.832797
593.709825,156.521811,80.868720
593.710563,156.521811,81.067456
593.717928,156.521811,81.265040
593.719444,156.521811,81.592192
593.722533,156.521811,81.987232
593.725678,156.521811,82.121792
593.727180,156.521811,82.267293
593.727963,156.521811,82.318086
593.730188,156.521811,82.516832
593.731708,156.521811,82.522976
593.735269,156.521811,82.688454
593.738464,156.521811,82.713126
593.739981,156.521811,82.794752
593.749617,156.521811,82.847686
593.750373,156.521811,83.003232
593.751863,156.521811,83.083494
593.754932,156.521811,83.218054
593.756442,156.521811,83.242726
595.027712,156.521811,83.398272
595.029250,156.521811,83.532832
595.030158,156.521811,83.613094
595.031858,156.521811,83.927872
595.032652,156.521811,84.000704
595.036056,156.521811,84.048960
595.037723,156.521811,84.372608
595.041526,156.521811,84.479808
595.042345,156.521811,84.536512
595.043077,156.521811,84.709373
595.046368,156.521811,84.718176
595.050646,156.521811,84.732806
595.051500,156.521811,84.765024
595.053332,156.521811,84.793504
595.057313,156.521811,84.876128
595.058972,156.521811,84.900960
595.062724,156.521811,85.262406
595.063156,156.521811,85.456224
595.064983,156.521811,86.164893
595.066758,156.521811,86.281024
595.070159,156.521811,86.329286
595.072067,156.521811,86.439120
595.072499,156.521811,86.471101
595.073442,156.521811,86.676064
595.076684,156.521811,86.810624
595.080317,156.521811,86.888454
595.083633,156.521811,86.969856
595.086842,156.521811,87.156454
595.088535,156.521811,87.203232
595.090039,156.521811,87.205664
595.091557,156.521811,87.283494
595.094667,156.521811,87.418054
595.096249,156.521811,87.431645
595.100022,156.521811,87.598272
595.101690,156.521811,87.678525
596.414567,156.521811,87.732832
596.415314,156.521811,87.813094
596.416811,156.521811,87.929126
596.417597,156.521811,88.184672
596.418359,156.521811,88.299494
596.419877,156.521811,88.324166
596.420621,156.521811,88.376128
596.422113,156.521811,88.425376
596.423664,156.521811,88.458726
596.424030,156.521811,88.641376
596.424768,156.521811,88.694534
596.426294,156.521811,88.743805
596.426513,156.521811,88.829094
596.427263,156.521811,88.900704
596.430454,156.521811,88.910566
596.430832,156.521811,88.981040
596.431553,156.521811,89.066112
596.432268,156.521811,89.134045
596.433868,156.521811,89.280934
596.434658,156.521811,89.289680
596.436132,156.521811,89.488253
596.436512,156.521811,89.595712
596.436875,156.521811,89.732832
596.438504,156.521811,89.920349
596.439273,156.521811,90.050272
596.446493,156.521811,90.356224
596.447973,156.521811,90.481024
596.451557,156.521811,90.588304
596.452010,156.521811,90.876064
596.455371,156.521811,91.010624
596.456841,156.521811,91.405664
596.458345,156.521811,91.619456
596.463412,156.521811,91.869856
596.466713,156.521811,91.892064
596.468272,156.521811,91.947654
596.469782,156.521811,92.301952
596.476229,156.521811,92.342694
596.477724,156.521811,92.343904
596.479199,156.521811,92.421664
596.480075,156.521811,92.477254
596.481140,156.521811,92.499494
596.483125,156.521811,92.656160
596.484720,156.521811,92.873504
596.485470,156.521811,92.889501
596.486232,156.521811,92.951334
596.487788,156.521811,93.029094
596.488524,156.521811,93.148829
596.491615,156.521811,93.266112
596.492359,156.521811,93.325376
596.493839,156.521811,93.364829
596.495310,156.521811,93.480934
596.496528,156.521811,93.757472
596.499841,156.521811,93.992006
596.500247,156.521811,94.111680
596.500988,156.521811,94.193024
597.553126,156.521811,94.362374
597.553850,156.521811,94.450067
597.554654,156.521811,94.550080
597.555085,156.521811,94.604349
597.556605,156.521811,94.803104
597.558088,156.521811,94.820349
597.558832,156.521811,95.055008
597.559622,156.521811,95.160883
597.559804,156.521811,95.315325
597.560158,156.521811,95.511773
597.561574,156.521811,95.540224
597.563148,156.521811,95.606848
597.564049,156.521811,95.935264
597.565539,156.521811,96.069824
597.566302,156.521811,96.092064
597.567780,156.521811,96.147654
597.569269,156.521811,96.258624
597.570015,156.521811,96.542694
597.571458,156.521811,96.543904
597.572912,156.521811,96.621664
597.573657,156.521811,96.677254
597.574384,156.521811,96.834144
597.576315,156.521811,96.967293
597.577035,156.521811,97.073504
597.577763,156.521811,97.080832
597.578682,156.521811,97.556160
597.580260,156.521811,97.558694
597.581010,156.521811,97.789501
597.581763,156.521811,98.010534
597.582479,156.521811,98.048829
597.585576,156.521811,98.051136
597.586317,156.521811,98.088294
597.586693,156.521811,98.540134
597.587064,156.521811,98.873267
597.587787,156.521811,99.011680
597.588494,156.521811,99.220416
597.590117,156.521811,99.267229
597.590860,156.521811,99.276192
597.598586,156.521811,99.504349
597.600112,156.521811,99.703104
597.601577,156.521811,99.715200
597.601947,156.521811,99.740224
597.603614,156.521811,100.110592
597.607018,156.521811,100.135200
597.610339,156.521811,100.256349
597.612141,156.521811,100.269824
597.613094,156.521811,100.351270
597.614061,156.521811,100.525312
597.615702,156.521811,100.640192
597.617189,156.521811,100.775731
597.617563,156.521811,100.808189
597.619219,156.521811,100.836486
