Time,UB,LB
0.000000,160.000000,14.907360
0.030779,160.000000,23.559200
9.881809,156.840349,23.559200
72.394625,156.521811,23.559200
90.030626,156.521811,24.959200
90.045101,156.521811,27.485088
145.521245,156.521811,30.028288
145.536064,156.521811,31.436928
163.606324,156.521811,31.899808
163.621576,156.521811,31.996064
181.906656,156.521811,33.148032
181.921739,156.521811,33.177664
201.757903,156.521811,33.559130
201.774151,156.521811,33.731968
201.781669,156.521811,34.122080
218.469133,156.521811,34.214688
218.473693,156.521811,34.562810
218.480873,156.521811,35.877664
218.488257,156.521811,36.862819
229.372022,156.521811,37.240608
229.387891,156.521811,37.262810
229.394586,156.521811,37.685088
229.403112,156.521811,37.866528
241.291183,156.521811,38.682496
241.294593,156.521811,39.320832
241.301570,156.521811,39.736864
241.304953,156.521811,39.868928
241.306466,156.521811,40.566528
247.533152,156.521811,40.629408
247.547783,156.521811,40.725664
247.554585,156.521811,40.826960
257.766282,156.521811,40.923216
257.770020,156.521811,41.049248
257.786098,156.521811,41.145504
257.793653,156.521811,41.191168
268.779099,156.521811,43.029344
268.782729,156.521811,43.096048
268.785916,156.521811,43.226896
268.787424,156.521811,43.399770
268.788949,156.521811,43.425664
268.795524,156.521811,43.449184
274.001817,156.521811,43.492368
274.009525,156.521811,43.623216
274.012839,156.521811,43.725696
274.016296,156.521811,43.845504
274.023307,156.521811,44.029376
280.408511,156.521811,44.047968
280.415550,156.521811,44.122016
280.422416,156.521811,44.444288
280.436887,156.521811,44.581184
291.563597,156.521811,44.722010
291.567009,156.521811,45.007232
291.570736,156.521811,45.044224
291.577394,156.521811,45.110784
291.580556,156.521811,45.225728
291.583755,156.521811,45.573824
296.934407,156.521811,45.753920
296.937494,156.521811,45.781216
296.944566,156.521811,46.329472
296.951321,156.521811,47.022016
296.965770,156.521811,47.356544
305.738912,156.521811,47.534336
305.742229,156.521811,47.551616
305.749114,156.521811,47.752864
305.753294,156.521811,47.796096
305.756583,156.521811,47.838016
305.758121,156.521811,47.930656
305.764703,156.521811,48.120672
311.989698,156.521811,48.272640
311.993083,156.521811,48.496096
311.996345,156.521811,49.004704
311.999734,156.521811,49.118336
312.006934,156.521811,49.401024
312.013576,156.521811,49.614592
317.994803,156.521811,49.877446
318.001232,156.521811,50.144192
318.004236,156.521811,50.340486
318.010715,156.521811,50.407046
318.014545,156.521811,50.812048
318.016118,156.521811,50.870086
318.019425,156.521811,51.208368
322.502258,156.521811,51.373792
322.503817,156.521811,51.441696
322.505356,156.521811,51.466432
322.512219,156.521811,51.512048
322.513937,156.521811,51.561504
322.517397,156.521811,51.763968
322.520870,156.521811,51.838016
322.524152,156.521811,51.996032
