Time,UB,LB
0.000000,140.000000,19.177760
0.000040,140.000000,24.203680
0.000066,140.000000,26.899968
0.000086,140.000000,27.825888
0.000097,140.000000,27.991328
0.000123,140.000000,28.917248
0.000133,140.000000,31.407360
0.000161,140.000000,31.478912
0.000171,140.000000,32.333280
0.000181,140.000000,33.320928
0.000193,140.000000,33.330752
0.000199,140.000000,33.629568
0.000210,140.000000,34.903616
0.000244,140.000000,35.543136
0.000252,140.000000,36.433280
0.000285,140.000000,37.086336
0.000317,140.000000,38.346848
0.000330,140.000000,38.655488
0.000344,140.000000,39.129568
0.000376,140.000000,40.569056
0.000383,40.569056,40.569056
