Depth,PrunedNodes
13175696,398
7862624,15
13200176,13
13200240,14
7848376,6
8105240,63
13175632,350
8107360,63
13175568,165
13196208,250
7712656,63
7488192,521
7953312,46
13175856,182
13200528,75
13175984,297
7830168,31
13200464,63
13175920,223
7710928,105
7698504,63
7951360,63
7832120,27
8103512,31
8001952,15
7863008,409
13202640,46
13212696,60
8047024,37
13178096,102
13212824,31
7823960,127
13202512,130
7943328,94
7698632,31
8046896,62
7951488,109
13177968,368
7696416,31
8002016,31
13177904,153
13419280,126
7862944,40
8423264,15
13202576,168
7698440,63
7848632,1
7848024,6
7943776,63
7857024,13
7954720,63
7846840,12
7685448,135
8047632,78
13175184,254
13199664,98
13199728,108
13175120,291
8098136,127
7847224,7
7703504,63
13205296,141
7713672,31
7697224,12
13180816,45
7954176,63
8359408,127
7998976,61
7946016,146
7847416,7
7847288,7
13179536,367
7843000,7
13195984,68
7826680,127
13418832,127
13187824,421
8051600,15
13179408,221
13178256,161
7845752,15
13202864,52
7845880,15
7999616,63
13178192,77
8106656,31
7847672,6
13191312,94
13200336,65
7708656,44
8105400,31
7840120,46
13175792,419
13175728,361
7831960,63
7840056,28
13175600,329
7854432,63
13200272,65
7831832,27
13180784,46
7703408,41
13211544,31
13205328,15
7847256,12
7995328,127
7952832,107
13179248,206
13209880,63
13179376,167
7697888,62
13187344,216
8047984,7
7784760,127
13195280,46
8416032,127
8355504,127
13179088,165
7707888,29
8003040,286
7715856,12
13203568,68
8428496,63
13178960,180
8161144,230
7834328,60
7706864,84
7686240,63
13179984,209
13177200,286
13189616,218
7846680,12
13212536,31
13177808,105
7995904,31
13203760,186
8000512,78
7844856,23
13179280,434
7952800,252
7828408,119
13200848,116
7713136,15
13422144,63
13206808,255
13176304,178
13201264,38
7693192,50
8102168,31
8163448,116
8355216,127
13176656,152
7942112,94
13199568,208
8052176,7
13175024,225
8357744,63
7845720,7
13202896,54
8044656,15
7837624,3
13178288,176
13200496,102
13425488,63
8145744,31
13175888,129
8053232,63
7830136,60
7999936,78
13175952,346
7783896,63
13200432,14
7712968,254
13214744,78
7696520,31
13184240,92
7688232,31
13175824,243
13192272,234
7846456,6
7949344,181
7695144,127
13203376,69
8100216,63
7843072,63
8357328,127
8050416,62
7845368,12
13193680,140
8358736,31
8051824,14
7834584,15
7950720,251
7691744,127
7842680,24
13177104,368
7845624,12
7946400,63
7713808,48
7845496,14
13197552,46
7695528,28
7837400,14
13189136,15
13178064,128
7698600,43
7700720,14
8001856,15
7943296,175
13174288,101
7956000,15
7844024,24
13201648,69
8418176,31
7709840,15
7942272,230
13177040,47
13199952,68
8047376,15
13175408,282
13175312,322
13197872,93
8045360,15
7859328,62
7845048,15
13173392,140
7844984,7
13173328,15
7712432,63
13204048,17
8106208,63
8420832,134
13179504,208
7780344,120
13202384,198
8057360,190
13419760,63
13185808,253
8103288,15
13177840,190
7951200,31
7844376,24
7704656,31
13177008,345
7687464,62
7706000,105
13199696,53
8166008,142
8103736,127
8356752,126
13175152,157
7844280,15
8046512,45
13198864,88
8415488,31
7844056,24
7840568,15
7693600,62
13175088,178
7695816,31
13199760,67
7948672,126
13199824,70
13175280,204
7844152,31
7840888,48
13193744,115
7942848,31
8004576,255
7832792,58
7950944,126
13202160,138
13200688,343
8050864,7
7705072,10
13176208,122
13200880,102
13215192,31
8050800,45
13176272,81
7783576,127
13185008,131
7976856,127
13420624,127
7783000,63
13176592,100
7861632,31
13176752,192
8048336,24
7746184,127
13176720,30
8428656,63
13201200,60
13201008,80
13426000,127
13176400,40
8416576,126
13200080,89
13175536,198
13199984,55
8143216,63
13175376,267
13175216,387
7685032,62
7843288,6
7695200,31
13192208,186
7702608,20
7696584,63
13176016,297
13203472,190
8100600,126
13195504,265
13426544,127
8002816,15
7843544,12
7695456,31
7944256,63
7685288,164
13179472,324
13178416,45
13419792,63
13203088,143
13201712,98
8101752,125
13421232,63
7488640,119
13177232,257
7704048,63
7691616,252
7950592,63
8051952,7
7942432,167
8420992,78
7842808,7
7843384,12
7993440,31
13195344,156
13179952,257
13421328,126
13204624,72
8051760,15
13201776,38
8163960,126
13421296,127
13177168,270
7745672,63
13201872,202
7842776,15
13200112,37
13175504,350
8421344,63
13180016,231
7842328,7
13180144,185
13188112,187
