Time,UB,LB
0.000000,71.626816,-1.000000
0.000120,71.626816,24.203680
0.000132,71.626816,24.203680
0.000133,55.426880,24.203680
0.000167,55.426880,24.203680
0.000174,55.426880,24.203680
0.000175,45.560352,24.203680
0.000189,45.560352,24.203680
0.000196,45.560352,24.203680
0.000197,40.569056,24.203680
0.000223,40.569056,24.203680
0.000250,40.569056,24.203680
0.000276,40.569056,24.203680
0.000291,40.569056,24.203680
0.000343,40.569056,24.203680
0.000374,40.569056,24.203680
0.000402,40.569056,24.203680
0.000429,40.569056,24.203680
0.000456,40.569056,24.203680
0.000471,40.569056,24.203680
0.000513,40.569056,24.203680
0.000543,40.569056,24.203680
0.000569,40.569056,24.203680
0.000617,40.569056,31.407360
0.000634,40.569056,31.407360
0.000660,40.569056,31.407360
0.000675,40.569056,31.407360
0.000701,40.569056,31.407360
0.000729,40.569056,31.407360
0.000780,40.569056,36.433280
0.000810,40.569056,36.433280
