Time,UB,LB
0.000000,120.000000,17.407360
0.003619,120.000000,30.017184
0.004837,119.332282,30.017184
0.006677,116.580877,30.017184
0.019104,116.426426,30.017184
0.045718,115.292656,30.017184
0.045908,113.996707,30.017184
0.488037,113.996707,32.817184
0.660914,113.803117,32.817184
0.797082,112.736016,32.817184
0.797167,110.606691,32.817184
2.327848,110.606691,50.202304
2.355119,110.606691,52.361504
2.464354,110.606691,70.246624
2.475311,110.606691,72.465184
2.506661,110.606691,92.274976
2.507607,110.606691,102.361376
2.509473,110.606691,105.899648
